0;RT @CommuterBoston: ACCIDENT (Wellesley, MA): RT-9 East near Cedar St - involving a motorcycle and a car - possible lane restrictions;YES
1;RT @CommuterBoston: ACCIDENT: I-290 East before I-495 (Exit #26) - 2-car accident with possible lane blockages;YES
2;Opened report via iPhone at 19 Standard St http://t.co/8vc761aCHT. Road kill on sidewalk.;NO;
3;RT @CommuterBoston: ACCIDENT REPORTED: I-93 North before Granite Av (Exit #11) - police investigating;YES
4;Duduk lebih dari 7 jam sehari berisiko depresi 47 persen lebih tinggi dibandingkan yang hanya duduk 4 jam sehari [HuffingtonPost];NO;
5;RT @CommuterBoston: ACCIDENT (Providence, RI): I-195 West near Gano St - right shoulder blocked;YES
6;Dedham Police Looking for Suspects After Car Crashes into Verizon Store http://t.co/u3zrVjliqB;YES
7;@NotifyBoston We need a don''t block the box ordinance... And traffic needs to be fixed on Atlantic Ave btwn SStation and the offramps;NO;
8;# T-MOBILE NOWE HORYZONTY: Punk''s not dead - Wielkie oglądanie filmów we Wrocławiu trwa w najleps... http://t.co/UhtgxQES8x;NO;
9;ACCIDENT REPORTED (Danvers, MA): RT-1 North off-ramp to I-95 North - use caution;YES
10;RT @CommuterBoston: ACCIDENT REPORTED (Danvers, MA): RT-1 North off-ram/p to I-95 North - use caution;YES
11;Look, your voice is lovely but that breath is not. Please stop serenading the subway car at 8am with that vial stench. #commuterproblems;NO;
12;Opened report via Android at 146-184 South St Boston http://t.co/izfT7Oww65. Car with smashed window. heard that 3 or four more in the area.;YES
13;ACCIDENT: RT-128 North before US-3 N/Middlesex Tpk (Exit #32) - 2-car accident with reported minor injury - police on scene;YES
14;RT @CommuterBoston: ACCIDENT: RT-128 North before US-3 N/Middlesex Tpk (Exit #32) - 2-car accident with reported minor injury - police on s…;YES
15;ACCIDENT: I-90 (Mass Pike) East after RT-122 (Exit #11) - 2-car accident in the breakdown lane;YES
16;RT @CommuterBoston: ACCIDENT: I-90 (Mass Pike) East after RT-122 (Exit #11) - 2-car accident in the breakdown lane;YES
17;DISABLED VEHICLE (Chelsea, MA): RT-1 North near Carter St - left lane blocked;YES
18;Is Tyler Zeller a Legitimate Building Block for Boston Celtics'' Future? - Bleacher Report http://t.co/60v8mmseIX #NBA #BostonCeltics;NO;
19;ROADWORK (Groton, CT): I-95 SB between Clarence B. Sharp Hwy (Exit #87) and U.S. Sub Base/Gales Ferry (Exit #86) -three right lanes blocked;NO;
20;Iced coffee from @DunkinDonuts boat shoes because there''s a boat involved and we are good to go #sendsorboni #whales http://t.co/spRgajNxZL;NO;
21;When you''re dead, you don''t know you''re dead. It''s the same way when you''re stupid.;NO;
22;RT @sorbonified: Iced coffee from @DunkinDonuts boat shoes because there''s a boat involved and we are good to go #sendsorboni #whales http:…;NO;
23;Belting out like a cowboy as I open my car door to a dead silent parking garage filled with miserable people. #MorningMerrimack;NO;
24;@cspanwj @RepTomRice  since I can''t afford cable I can''t see Rice''s nose growing. 1 item Gasoline How about keeping our gas in this country?;NO;
25;#Boston #News Old World Meets New After Amish Buggy, Car Crash in Maine: No one was injured in the Wednesday m... http://t.co/UD7kX5wrBR;YES
26;@MBTA there is no a/c on Orange Line car 01255. I tweeted about the same car on 715/14. Glad to see you listened to me and fixed it...NOT.;NO;
27;RT @BFinBOS: Hey @FedEx, one of your drivers with horrible #roadrage got out of his truck twice and approached a females car window!! I hav…;NO;
28;RT @MidasWolfNL: Van die mensen die spontaan beginnen te knorren tijdens het lachen... #irritant;NO;
29;Opened Graffiti report via iPhone at 460 Bennington St http://t.co/VRGeS0WfkS. Traffic signal at bennington and swift, south side. thank...;NO;
30;Exciting new fragrance launching this fall #DianaVreeland #Fragrance collection exclusively @neimanmarcus @Bergdorfs http://t.co/pokp50U7Vr;NO;
31;An estimated 16% of car owners in the United States say they never wash their car.;NO;
32;@Stacks_On_Dex that makes my car look like it doesnt belong on the road;NO;
33;Closed report at N42.36 E71.06 http://t.co/q2KU0h7E77. Case resolved. vehicle left.;NO;
34;Opened report via iPhone at 508 Park Dr http://t.co/yJBikwLLoh. Construction vehicle blocking bike parking and infringing upon parklet in...;NO;
