0;Looking for a car online? Well, you might want to check out Andy's report tonight at 5 p.m. before going further. http://t.co/H3Elp0u3;NO
1;Indiana home explosion now homicide investigation: The house explosion that killed two people and destroyed several... http://t.co/LEVHbGV3;NO
2;TRAFFIC: Medical emergency on Summer Ave. at Berclair Rd. Police directing traffic. Caution advised.;YES
3;2002 DODGE DURANGO 4DR AUTO  (Memphis) $3100: 2002 DODGE DURANGO 4DR AUTO WELL CARED FOR COLD AC NEWER TIRES CLE... http://t.co/dP0cE8JU;NO
4;Injury crash in Cordova on Hwy 64 at Rockcreek Pkwy.  #memtraffic;YES
5;TRAFFIC: Accident on Mt. Moriah north of Quince Rd.;YES
6;thought about buying a foreign car but do yall know the price of a tuneup on a benz..... another car note;NO
7;Gotta keep my fone n da car while I'm workin so wen I go on break ima c how loved I am;NO
8;TRAFFIC: Injury crash on U.S. Highway 64 at Rockcreek Pkwy.;YES
9;Multiple injury crash at Quince and Perkins.  Stick with Willow as an alternate.  #memtraffic;YES
10;[MFD Alert] House-ForestBrook E34/50/30 T17 R2. E34 scene 1SWF heavy smoke, preconnect;YES
11;Wow-a woman crashes her car bc she's shaving...down there. Weirdest thing you've seen someone do while driving? http://t.co/Zn5cvhvK;YES
12;Speeding ticket bs #speeding #car #gs300 #fast #lane #pissed #f #the #police #fatty #racist #bartlett #sucks http://t.co/SwOXs26d;NO
13;Dirty Cop News: National Police Misconduct NewsFeed Daily Recap 10-17-12 to 10-19-12: Here are the 14 reports of... http://t.co/rzLlOL7j;NO
14;Wheew Ian starting back to doing no hair until I start my Christmas break.... I need a break;NO
15;Nov 22,2012: Exhibition - Fire And Desire: 10:00am: Dixon Gallery and Gardens. Fire And Desire: A... http://t.co/Bp2pgUct #MemphisEvents;NO
16;So excited to peace out early for Thanksgiving break but instead I'm stuck at the car shop. Why is this always happening to me.;NO
17;Jennifer Lawrence Explains How Honey Boo Boo Caused Her Car Accident: Jennifer Lawrence is one serious Honey Boo... http://t.co/vJbJETVZ;NO
18;2001 BMW X5 FULLY LOADED (MEMPHIS, TN) $4995: THE CAR RUNS EXCELLENT!!!!! COLD A/C NO ACCIDENTS ONE OWNER LE... http://t.co/HlcRTAMY;NO
19;Injury crash in Whitehaven at Shelby & Faronia.  Power outage in the Cordova area affecting about 1000 customers. #memtraffic;YES
20;Lets crash and burn together.;NO
21;#MLGW reports 1,000 w/o power in Cordova area. Traffic on G'town Rd a mess due to signal lights out Outage Map: http://t.co/gplAYuh2;YES
22;You bite the fry the fry bites back;NO
23;He also said he had 3 sisters that were all killed in a car wreck...;NO
24;At the restaurant this fucking lady purposely smacked my car with her door. So when the bitch come out she go have a big ass dent in her car;NO
25;She got in my car and said damn yo car loud as hell... I sounder how yo room smell??????;NO
26;NeoMemphis News: A look ahead: Deadly faith: The family of a Mid-South woman who died in a car crash sa... http://t.co/0fykENLD #memphis;YES
27;glad that 2marrow is the last day of school..we have a lil mini break,2 days, but any break will do 4 me lol :);NO
28;ABOUT TO WASH MY CAR,  VACUUM MY CAR THEN GO OUT AND SHIT ON FOLKS N MY CAR;NO
29;Best Buy Reports Third-Quarter Loss: NEW YORK (AP) – Struggling Best Buy Co. reported another dismal quarter on... http://t.co/r0wypVoK;NO
30;2 victims identified in fatal Memphis crash: Two people killed Monday in a two-car crash on Shelby Drive near... http://t.co/E6ts87ab;YES
31;Miss my parents already .. Watching them pack their truck ..Tears stinging my eyes..I'm a big ole baby .. ??;NO
32;Break doesn't feel like a break.... Feels the same with one day of family, food, then work.;NO
33;My ma NEVER comes home on her lunch break and eats lunch but on the day I need the car she choose to do so!!!! Smh Lol;NO
34;The two young men killed in car accident have been identified by police: http://t.co/dYrtHzJc;YES
35;The two young men killed in car accident have been identified by police: http://t.co/gwhPcKKN;YES
36;Two young men killed in car accident identified http://t.co/83cTILCT;YES
37;NeoMemphis News: Two young men killed in car accident identified: The two people killed in a car accide... http://t.co/W9VDEphw #memphis;YES
38;Bumping that teddy Pendergrass # what y'all not about that # old soul # momma put me on that;NO
39;Who buys a car that HAS problems?? Who sells a car WITH problems?? Tf out of here!;NO
40;Off-duty #MPD officer charged with DUI, leaving scene of accident etc. http://t.co/w0QBRw64;NO
41;### - #### here's my # save it ! -__- who said I wanted am extra contact ? Lolss :);NO
42;Just put on Take Me Home in a car full of boys. And we jammed. I feel so accomplished. #futuredirectioners;NO
43;Off-duty Memphis officer leaves scene after crashing truck Nov 19 on I-40, arrested for DUI ... http://t.co/ixrV8qn2 -ta;YES
44;What is the point of an oven timer if it DOESN'T make a noise when it's finished. My bagel bites are burned... Can this day get any worse?;NO
45;Most definitely driving my car back this time. Taking these rims off. Jackson roads would fuck it up.;NO
46;When niggas say girls who smoke weed aren't attractive &lt.&lt.&lt.&lt. fuck that shit. I love me a girl that can roll & smoke with me. ????????;NO
47;The Leaf is a car that manages to be electric and the Tesla Roadster was an incredible concept vehicle but the Model S is a real world car.;NO
48;Vehicle fire on 14 fucked me good,now I get to take the detour home!!!!;YES
49;trade truck for car (east memphis): i have a 1978 chevy pick up truck it has a 350 motor its a real good work tr... http://t.co/czHsVtQs;NO
50;Niggas stay dyin on the freeway. Holdin up traffic and shit. Niggas got places to be;NO
51;My cuz said we smoke back at the house so that wat made us get out the car if his dum ass would shut up then they would not found the gun;NO
52;Heavy traffic on I-240 WB between Shady Grove Rd and Poplar Ave. #traffic;YES
53;I can tell its a holiday!! No one is on the road...my car service may not be as much as I was thinking....;NO
54;TRAFFIC: Police directing traffic on I-55 northbound at Shelby Drive. Delays expected.;YES
55;When The Couple You Thought That'll Never Break Up, Actually Breaks Up &lt.&lt.&lt.&lt.&lt.&lt.&lt.&lt.&lt.&lt.&lt.&lt.;NO
56;White male found dead along I-55 at Shelby Drive. A live report on Live at 9. Picture of the scene. http://t.co/12hZZLXy;YES
57;Heavy traffic on I-240 WB between Shady Grove Rd and Poplar Ave. #traffic;YES
58;Medical Emergency causing traffic on I-55 NB South of Shelby Drive. #traffic;YES
59;Traffic: Injury crash on I-240 n/b north of Walnut Grove Rd. #WREG #MEMtraffic /cvon3;YES
60;Injury crash reported on NB 240 north of Walnut Grove Rd.  #memtraffic;YES
