0;This asshole parks in my parking spot at work and goes somewhere else. I blocked his ass in with my car. He not going anywhere;NO
1;Mid afternoon study session by the fire. #winterdays #fire #studying #christmas #tistheseason http://t.co/RdWT85vY;NO
2;Accident reported in Bothell - SB 405 before SR 527, right lane. Already looks slow from nearly I-5;YES
3;Route # 13 is temporarily off route due to vehicle failure. We apologize for the inconvenience.;YES
4;#seahawks injury report: DNP - Bryant (foot), Hill (ankle). Limited - Lynch (back), Scruggs (oblique).;NO
5;Wednesday Injury Report: DNP - Bryant (foot), Hill (ankle). LP - Lynch (back), Scruggs (oblique) http://t.co/ALJ41LFc;NO
6;9 cars in the drive thu, two people in line inside, one major traffic jam stretching 2 lots, GET OUT OF YOUR CARS YOU LAZY SAMMAMISH CUNTS!;NO
7;Crash blocks the right lane SB 405 north of 527 or south of I-5, however you want to look at it. Backup from I-5.;YES
8;Seahawks at Bears: Wednesday's injury report: The Bears had six players sit out Wednesday's practice, including... http://t.co/eYGY3lAf;NO
9;What if we had a game jam jam?  A jam for game jam ideas.;NO
10;Cars and Women: Timing is Everything... #cars #women #dance http://t.co/EuT9GTPd;NO
11;I just wanna smoke and eat, smoke and eat.;NO
12;I think I'm just gonna work on cars for the rest of my life. I like cars.;NO
13;When you're in the car, and you look at the people in the car next to you, and they're already looking at you. #hellaawkward;NO
14;Vehicle - Cars in Ballard #fmsphotoaday http://t.co/jV6Av1Pj;NO
15;those fire lanterns are very beautiful but I am concerned about the fire hazard. how do they not burn down entire neighborhoods? #skeptic;NO
16;The police are searching for some drunk dude in my neighborhood and they searched my mom's car and I'm just a little freaked out.;NO
17;Accident in Bellevue reported - WB 90 before 405, HOV lane. Slow approaching scene;YES
18;Seahawks injury report for Wednesday: Red Bryant, Leroy Hill banged up http://t.co/XhmO9Tfj;NO
19;Seahawks at Bears: Wednesday's injury report: Seahawks injury reportWednesdayThursdayFridayOUTOUTOUT Did not pra... http://t.co/b4OTKMc0;NO
20;Me and my dad sing pearl jam together in the car. :) and I still do my cat daddy;NO
21;Ack! NB 167 after 212th, crash blocks the right lane and SB 5 C-D lanes north of I-90, crash in the left lane.;YES
22;Accident reported in Kent - NB 167 before 180th, right lane. Slow from 212th;YES
23;This literally is the biggest blunt I've smoked. Bigger than the one I rolled at Jack's last winter break.;NO
24;Well, let's add this in to the mix- SB 5 at 320th, crash blocks the TWO right lanes!;YES
25;#5: Disney Cars Kids' CRSKQ442 Time Teacher Watch: Disney Cars Kids' CRSKQ442 Time Teacher Watch Disney (Visit t... http://t.co/J0Dfg5lR;NO
26;Off-Duty Officer Arrested Following Report of DV Incident: An off-duty Seattle Police Officer was arrested late last... http://t.co/Hincogvv;NO
27;Motor Vehicle Accident | S Orcas St / M L King Jr Way S | Units: E28;YES
28;Car Fire | 14th Av / E Jefferson St | Units: E25;YES
29;BREAKING NEWS BREAKING NEWS: THIRD TEMPLE BEING REBUILT 11.27.12!!! http://t.co/N2oesik2;NO
30;Accident reported in north Seattle - NB 5 express lanes before Northgate...;YES
31;NFL Injury Report – San Francisco Chronicle;NO
32;The New York City Police officer are the best I have ever seen. They are funny as heck, they expect you to break rules. Awesome!;NO
33;Duck's Biannual Head Injury: The streak continues! Smacked myself with my car door, rounding out 2012. #EarsAreRinging;NO
34;NFL Injury Report – San Francisco Chronicle http://t.co/QZMianWW;NO
35;Freshman year :omg I saw someone smoke weedSophomore year : I'm so cool, I smoke weed all day everyday, totally a stoner;NO
36;Just seen a dumb ass rear-ended a police car.;NO
37;When you're stuck in traffic forever and finally pass an accident in the SHOULDER lane and realize THAT is the reason why smh.;NO
38;Motorcycle down just north of #Ballard bridge. Emergency vehicles on scene. Be careful around there.;YES
39;Hahaha dumb ass~~~~&gt.Mark Sanchez breaks Butt Fumble silence: It was just like a car accident. I was like, Whoa, what just happened?;NO
40;#questionpro Behind the Scenes of the QuestionPro Infographics Report Feature: If you’re a marketing person that... http://t.co/2xdsCUum;NO
41;I need to smoke. I need to smoke. I neeeeeeeed. To. SMOKE;NO
42;Second fire evacuation of the week. Pretty sure someone just burned dinner, but we're all outside with our dogs anyway. #safetyfirst;YES
43;My hallway has more traffic than Pac Highway.. #sorryimnotsorry;NO
44;If Samsung was smart, they'd post that I also made you a video on their website - I bet the server would crash with all the traffic..;NO
45;In Wilson's first 4 road games, he averaged a Total QBR of 29.2.  Improved to 92.3 over his last two road starts, tho.;NO
46;#5: Kindle Fire 7, LCD Display, Wi-Fi, 8 GB: Kindle Fire 7, LCD Display, Wi-Fi, 8 GB by Amazon  ... http://t.co/imxtPXho #deals #sales;NO
47;Motor Vehicle Accident | 12039 Bartlett Av Ne | Units: E39;YES
48;great cross after running down a pass by Cheaney. Nearly set up Leroux, but it was blocked. Corner attempt by Rodriguez blocked too #close;NO
49;It's been a while since I've been at my breaking point. In this week.. I have met my breaking point again. #stressedtothemax #somuchpressure;NO
50;Despite UFO reports, officials say no missile crashed in Colorado - http://t.co/Q9BAWcy0;NO
51;I wonder who I pissed off to get such bad karma. Car accident on Monday, now my laptop crashed and won't turn on. I'm 5000% done. ??????;NO
52;I smoke. You smoke. Lets hotbox dis beeetch.;NO
53;crash into me by #dmb can do no wrong. it never gets old #jams;NO
54;SO LET'S SET THE WORLD ON FIRE, WE CAN BURN BRIGHTER THAN THE SUUUUUUUUUUUUUUUUUN.;NO
55;Bobbi Kristina -- WRECKS Camaro in Nasty Car Accident;NO
56;I can't wait for Winter break. LOLJK I've been on break for like 6 months now.;NO
57;While i was jerking off my dick fell off into the toilet where i was being in and the acid burned my hand and my i watched my dick burn;NO
58;Auto Fire Alarm | 925 Seneca St | Units: B5 E10 E25 L10;YES
59;Match report from Portland, where the cold weather didn't stop the #USWNT from catching fire and beating Ireland 5-0: http://t.co/FuSyLpVw.;NO
60;Sad to hear of Zig Ziglar's passing today.  One of my favorite Zig quotes: There are no traffic jams on the extra mile.;NO
61;In Picture To Burn, Taylor Swift sings like she's breaking up with a pickup truck.;NO
62;Tacoma police investigating car crash into home. Car ended up in middle of the street. More coming. #tacoma http://t.co/shK8noaj;YES
63;Car being pursued by law enforcement crashed into a Tacoma home overnight. Driver injured. Investigation underway.;YES
64;BBC News UK Austrian police raid privacy net: Austrian police have seized servers that were part of a global ano... http://t.co/XMOBNQuj;NO
65;I'm made of delicate stuff, if you break my heart you break all of me. Look after it like your life depends on it ?;NO
66;PostBusiness| Tajikistan blocks US-funded news website: Tajikistan blocks US-funded news websiteDUSHANBE, Taj... http://t.co/BXeXAYbD;NO
67;When a heart breaks it don't break even.;NO
68;the onramp from 116th ave NE to NB 405 is still blocked with rollover crash;YES
69;$CL_F If the 88.28 TS # holds initial target below is start of Range Long 87.05 TS #;NO
70;nb I-5 at Fife Curve/70th, crash blocking right lane;YES
71;nb I-5 at 70th/five curve, emergency vehicles have arrived, 2 right lanes & HOV blocked;YES
72;crash nb 5 after 54th in fife blocking 2 lanes;YES
73;Steady rain is approaching Olympia right now and will wet down the freeways until about 9-10 then a break until rain returns mid afternoon.;NO
74;Fleeing car crashes into Tacoma home: A car fleeing from police crashed into a home early Friday in Tacoma. http://t.co/80QOvcoj;YES
75;Holy cow, NB I5 at the Fife Curve, accident is blocking the 2 right lanes AND HOV lane!;YES
76;BBC News UK Motorist dies after A97 collision: A male motorist aged in his 30s dies after a crash on the A97 nea... http://t.co/XovZESka;YES
77;A train crashed through a failed bridge NJ. Train cars are leaking a toxic chemical. The Coast Guard is responding http://t.co/vLKHEbO7;YES
78;Fleeing car crashes into Tacoma home http://t.co/EpwBQ5uN;YES
79;The view from my office today. A vehicle pursuit ends with the suspect crashing his car into a residence in Tacoma  IJLCN0AL;YES
80;Fleeing car crashes into Tacoma home http://t.co/fWCYJEMj;YES
81;Diabetic individual must be careful to avoid injuries bcoz the inability of his system to absorb sugar reduces his capacity to heal wound.;NO
82;( Dance breaks are vest breaks );NO
83;Indian build small fire stand real close, White man build BIG fire stand way back....;NO
84;Auto Fire Alarm | 2733 3rd Av S | Units: E13 L7;YES
85;crash reported, sb I-5 near James/Convention center, blocking center lane;YES
86;Uuuuuuugh.  SB I5 at Pine near downtown... accident blocking 2 center lanes.  Lovely.;YES
87;Now Playing: Smoke From A Distant Fire by Sanford Townsend Band;NO
88;Who's up and wants to BS about the car scene? We'll start it off... where's direction is the stance scene going?;NO
89;Tacoma pursuit ends with car crashing into home http://t.co/hm0dlrLl;YES
90;Rogers to step down from Duke - Corker leaving Senate Energy committee - AAA cautions E15 could damage car engines -... http://t.co/iVG1rQGn;NO
