[6.649112199999999,3.2710606]	lyama meiran along toll gate,Alimosho	5/1/18
[6.635898,3.342576]	Ajayi Road off Yaya Abatan Ogba,Agege	5/1/18
[6.5224636,3.3350587]	Ilasa Bls Inward,Oshodi Isolo	5/1/18
[6.555018899999999,3.3962023]	Iyana Oworo Carwash Bus-Stop Inward,Kosofe	5/1/18
[6.521230099999999,3.3470892]	Ojuoye Bls Itire Road,Mushin	5/1/18
[6.4420123,3.4153161]	Awolowo Road Inward Towshwa Street Underbridge,Ikeja	5/2/18
[6.475407,3.0184816]	Barracks Bus-Stop along Badagry Expressway by Inward Trade Fair,Surulere	5/2/18
[6.614355,3.2977358]	Alagutan Bus Stop Iyana-Ipaja,Agege	5/3/18
[6.6117811,3.3006651]	AlimoshoRoundabout Inward Egbeda,Alimosho	5/8/18
[6.5672367,3.3673133]	Maryland Shopping Mall inward Maryland,Kosofe	5/5/18
[6.5648705,3.3468695]	Taskforce Office, Bolade,Oshodi Isolo	5/1/18
[6.6359906,3.3390732]	Yaya Abatan outward Pencuema closed to Excellent hotel,Agege	5/2/18
[6.6053337,3.2792438]	Before Dopemu Underbridge Inward Iyana-Ipaja,Agege	4/2/18
[6.6289187,3.3245515]	RTA Ishaga bus stop inward Abule-Egba,Agege	5/9/18
[6.6133804,3.3294282]	Capito Road inward Ashade,Agege	5/19/18
[6.606249999999999,3.39264]	Ile-ewa bus stop kosofe inward mile 12,Kosofe	5/5/18
[6.6085578,3.3094077]	Dopemu before the Bridge,Agege	5/7/18
[6.6403558,3.3176431]	Abattoir, Gengeto Bus Stop,Agege	5/4/18
[6.6403558,3.3176431]	Abattoir, Gengeto Bus Stop,Agege	5/4/18
[6.6403558,3.3176431]	Abattoir, Gengeto Bus Stop,Agege	5/4/18
[6.6403558,3.3176431]	Abattoir, Gengeto Bus Stop,Agege	5/4/18
[6.6403558,3.3176431]	Abattoir, Gengeto Bus Stop,Agege	5/4/18
[6.529884999999999,3.353477]	Mushin Bus Stop inward Alakara,Mushin	5/4/18
[6.588236299999999,3.3978098]	Ojoba Bridge inward Alapere CMKO Abiola Garden,Kosofe	5/4/18
[6.65764,3.3244683]	Ostto St. Fagba Bus Stop Abule-Egba Lagos,Ifako Ijaiye	5/4/18
[6.558534,3.367001]	Anthony Bus Stop Outward,Oshodi Isolo	5/7/18
[6.527977099999999,3.3744255]	Moroco Bus Stop Landmark Firstbank,Shomolu	5/7/18
[6.625461199999999,3.4839356]	Ojubode by Reel Buses,Ikorodu	5/26/18
[6.5409839,3.3674149]	Palmgrove Bus Stop inward Maryland,Shomolu	5/23/18
[6.4700486,3.3226615]	2nd Rainbow inward ,Oshodi Isolo	5/21/18
[6.531492,3.3359385]	Abagada Bus Stop Inward,Oshodi Isolo	5/21/18
[6.6394141,3.3322259]	Omole Bus Stop inward Ogba,Ikeja	5/21/18
